id,session,identifier,title,jurisdiction_id,media_type,url,note
3fd510f9-188f-4316-bf29-92a7baf55670,87,HB 1180,Relating to the creation of the Fiscal Risk Management Commission.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01180I.PDF,Introduced
5bad6066-297f-4fae-9f53-ff12732f7d56,87,SB 61,Relating to the creation and duties of the unfunded mandates interagency work group.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/SB00061I.HTM,Introduced
5bad6066-297f-4fae-9f53-ff12732f7d56,87,SB 61,Relating to the creation and duties of the unfunded mandates interagency work group.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/SB00061I.PDF,Introduced
7a10c6c2-cc71-4ff1-8865-9ea1f0df7ec4,87,SB 578,Relating to a prohibition of employment discrimination on the basis of reproductive decisions and certain employment agreements limiting reproductive decisions.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/SB00578I.HTM,Introduced
7a10c6c2-cc71-4ff1-8865-9ea1f0df7ec4,87,SB 578,Relating to a prohibition of employment discrimination on the basis of reproductive decisions and certain employment agreements limiting reproductive decisions.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/SB00578I.PDF,Introduced
cd3471e5-b8ec-424e-8efa-87f8ee9fc317,87,HCR 18,Requesting the creation of a joint interim committee to study the legacy of convict leasing in Texas.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HC00018I.HTM,Introduced
cd3471e5-b8ec-424e-8efa-87f8ee9fc317,87,HCR 18,Requesting the creation of a joint interim committee to study the legacy of convict leasing in Texas.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HC00018I.PDF,Introduced
08d7bdae-0f58-4738-a951-1332e8f1bcee,87,HB 1635,Relating to research duties and reports of the workers' compensation research and evaluation group.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01635I.HTM,Introduced
08d7bdae-0f58-4738-a951-1332e8f1bcee,87,HB 1635,Relating to research duties and reports of the workers' compensation research and evaluation group.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01635I.PDF,Introduced
ff99717c-4d3f-48ce-a905-7694ab6372b1,87,HB 281,Relating to the selection and administration of an appraisal review board; authorizing a fee.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00281I.HTM,Introduced
ff99717c-4d3f-48ce-a905-7694ab6372b1,87,HB 281,Relating to the selection and administration of an appraisal review board; authorizing a fee.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00281I.PDF,Introduced
c6ceb405-1dcd-4547-aa34-d91e55d85211,87,HB 455,Relating to inquiries about and the consideration of criminal history record information regarding applicants for employment.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00455I.HTM,Introduced
c6ceb405-1dcd-4547-aa34-d91e55d85211,87,HB 455,Relating to inquiries about and the consideration of criminal history record information regarding applicants for employment.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00455I.PDF,Introduced
b838a19b-aee6-4d28-b88b-8ff6a91cb751,87,HB 1617,Relating to recovery of medical or health care expenses in civil actions.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01617I.HTM,Introduced
b838a19b-aee6-4d28-b88b-8ff6a91cb751,87,HB 1617,Relating to recovery of medical or health care expenses in civil actions.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01617I.PDF,Introduced
